frame,x1,y1,x2,y2,conf
0,1023,272,1033,281,0.37626728415489197
0,5,574,14,582,0.28149914741516113
1,1023,272,1033,281,0.3945871889591217
1,5,574,14,582,0.28458890318870544
2,1023,272,1033,281,0.39044952392578125
2,5,574,14,582,0.28406959772109985
3,1023,272,1033,281,0.3909604251384735
3,5,574,14,582,0.28223568201065063
4,1023,272,1033,281,0.3986385762691498
4,5,574,14,582,0.28598761558532715
5,1023,272,1033,281,0.3829272389411926
5,5,574,14,582,0.2871677279472351
6,1023,272,1033,281,0.37443533539772034
6,5,574,14,582,0.2880585491657257
7,1023,272,1032,281,0.3921847343444824
7,5,574,14,582,0.2960833013057709
8,1023,272,1033,281,0.4008886218070984
8,5,574,14,582,0.28926199674606323
9,1023,272,1033,281,0.3903149366378784
9,5,574,14,582,0.2841240167617798
10,1023,272,1033,281,0.3778952956199646
10,5,574,14,582,0.28384196758270264
11,1023,272,1032,281,0.372083455324173
11,5,574,14,582,0.28010889887809753
11,634,669,652,684,0.1754869520664215
12,1023,272,1032,281,0.37097615003585815
12,5,574,14,582,0.27837011218070984
13,1023,272,1032,281,0.36785823106765747
13,5,574,14,582,0.2832249402999878
13,628,665,649,682,0.1501362919807434
14,1023,272,1032,281,0.3680320680141449
14,626,662,646,679,0.3651941120624542
14,5,574,14,582,0.28078368306159973
15,622,655,644,673,0.43156689405441284
15,1023,272,1032,281,0.36862820386886597
15,5,574,14,582,0.2639204263687134
15,1023,271,1033,280,0.14555299282073975
15,624,652,647,671,0.11231296509504318
15,616,654,641,675,0.10871177911758423
16,617,646,641,666,0.3776105046272278
16,1023,272,1032,281,0.3700147271156311
16,5,574,14,582,0.25539886951446533
16,1023,271,1033,280,0.1507282704114914
16,611,645,638,667,0.13124725222587585
17,613,636,637,656,0.4645267426967621
17,1023,272,1032,281,0.36800968647003174
17,5,574,14,582,0.2608475089073181
17,1023,271,1033,280,0.1434689611196518
17,607,636,635,658,0.14164619147777557
18,606,627,630,647,0.40426820516586304
18,1023,272,1032,281,0.38058963418006897
18,5,574,14,582,0.26268962025642395
18,1023,271,1033,280,0.13967743515968323
19,1023,273,1032,281,0.3711508810520172
19,5,574,14,582,0.26596909761428833
19,601,622,623,639,0.17477309703826904
19,1023,271,1033,280,0.14155909419059753
20,1023,273,1032,281,0.3610013425350189
20,5,574,14,582,0.27450355887413025
20,593,616,617,634,0.2351701259613037
20,1023,271,1033,280,0.14109039306640625
21,1023,272,1032,281,0.33665725588798523
21,5,574,14,582,0.2743930518627167
21,587,614,612,632,0.2588476240634918
21,1023,271,1033,280,0.15074530243873596
21,591,610,616,629,0.12241256237030029
22,1023,272,1032,281,0.34963756799697876
22,5,574,14,582,0.2624148428440094
22,852,11,861,20,0.2391676902770996
22,1023,271,1033,280,0.15156348049640656
22,581,614,604,631,0.1145927682518959
23,1023,272,1033,281,0.36258217692375183
23,5,574,14,582,0.2644285559654236
23,577,615,599,633,0.20079004764556885
24,1023,272,1033,281,0.3699003756046295
24,575,617,596,634,0.32466810941696167
24,5,574,14,582,0.2690734565258026
25,1023,273,1032,281,0.3622781038284302
25,5,574,14,582,0.29466965794563293
25,1023,271,1033,280,0.12899371981620789
25,851,12,859,20,0.11135818064212799
26,1023,273,1032,281,0.3708745837211609
26,5,574,14,582,0.2973346412181854
26,1023,271,1033,280,0.13029493391513824
27,581,626,604,646,0.39601489901542664
27,1023,273,1032,281,0.3861621916294098
27,5,574,14,582,0.2894853353500366
27,1023,271,1033,281,0.1272018998861313
27,576,625,602,645,0.12670131027698517
28,584,637,605,656,0.5229112505912781
28,1023,273,1033,281,0.40260612964630127
28,5,574,14,582,0.28398555517196655
