frame,track_id,label,x1,y1,x2,y2,confidence
0,1,person,1184,279,1264,439,0.9091690182685852
0,2,person,767,53,816,134,0.883195161819458
0,3,person,981,18,1019,80,0.8716138601303101
0,4,person,1843,450,1919,550,0.8485854864120483
0,5,person,1094,58,1135,136,0.8136248588562012
0,6,person,142,218,196,292,0.7825325131416321
0,7,person,869,2,895,55,0.7748422622680664
0,8,racket,759,719,800,757,0.7377351522445679
0,9,person,647,670,789,861,0.6855797171592712
0,10,racket,1085,98,1103,112,0.39397165179252625
0,11,person,134,359,178,412,0.267171710729599
1,1,person,1185,279,1264,439,0.9115818738937378
1,2,person,769,53,817,133,0.8782054781913757
1,3,person,982,18,1019,80,0.8687793612480164
1,4,person,1844,453,1919,550,0.8376368284225464
1,5,person,1095,57,1136,135,0.8254297375679016
1,6,person,142,218,196,292,0.7802833914756775
1,7,person,868,2,894,55,0.7414069771766663
1,8,racket,751,713,795,753,0.675149142742157
1,9,person,642,669,780,853,0.6418890953063965
1,10,racket,1083,96,1105,113,0.4709917902946472
1,11,person,134,359,178,412,0.27738818526268005
2,1,person,1185,279,1265,439,0.9130359292030334
2,2,person,771,53,819,133,0.8738610148429871
2,3,person,983,18,1021,80,0.8780461549758911
2,4,person,1846,456,1918,551,0.848296046257019
2,5,person,1096,57,1137,135,0.8313055038452148
2,6,person,141,218,196,292,0.7834668755531311
2,7,person,867,2,893,55,0.7767103314399719
2,8,racket,743,707,789,749,0.6352540254592896
2,9,person,637,667,772,848,0.8853358030319214
2,10,racket,1083,95,1105,113,0.5179378390312195
2,11,person,134,359,178,412,0.27375200390815735
3,1,person,1186,280,1265,439,0.910742998123169
3,2,person,773,52,821,133,0.8652425408363342
3,3,person,984,18,1023,81,0.8631622791290283
3,4,person,1847,457,1918,551,0.835514485836029
3,5,person,1097,55,1138,134,0.8326448798179626
3,6,person,141,218,196,292,0.7781941890716553
3,7,person,866,2,892,55,0.7435858845710754
3,8,racket,736,701,785,747,0.774239182472229
3,9,person,631,664,767,846,0.8940444588661194
3,10,racket,1083,94,1105,112,0.39629584550857544
3,11,person,134,359,178,413,0.2807139754295349
4,1,person,1187,280,1266,439,0.8972509503364563
4,2,person,776,52,824,133,0.876545786857605
4,3,person,986,18,1024,82,0.8607668280601501
