frame,track_id,label,x1,y1,x2,y2,confidence
0,1,person,723,560,891,795,0.9191263318061829
0,2,person,760,55,811,134,0.8930827379226685
0,3,person,660,278,737,436,0.8882633447647095
0,4,person,1067,55,1109,135,0.8285936713218689
0,5,person,1037,1,1066,43,0.7796660661697388
0,6,person,895,0,922,47,0.6549195051193237
0,7,person,1310,46,1334,112,0.6323509216308594
0,8,person,1260,38,1294,102,0.588016927242279
0,9,racket,1056,90,1076,106,0.49819326400756836
0,10,racket,679,373,709,398,0.38950300216674805
0,11,person,0,449,11,480,0.36802729964256287
0,12,person,1195,39,1221,101,0.2872942388057709
0,13,person,1337,35,1364,101,0.2592518925666809
1,1,person,722,559,893,798,0.8956277370452881
1,2,person,761,55,812,134,0.9039800763130188
1,3,person,660,279,737,437,0.894531786441803
1,4,person,1067,55,1109,134,0.8383268117904663
1,5,person,1037,1,1066,43,0.7845944762229919
1,6,person,895,0,921,47,0.6148039698600769
1,7,person,1310,46,1334,112,0.6450303196907043
1,8,person,1260,38,1294,102,0.553077220916748
1,9,racket,1059,90,1075,103,0.3331429362297058
1,11,person,0,449,11,480,0.3707166910171509
1,12,person,1193,38,1220,101,0.7368084192276001
1,13,person,1337,35,1364,101,0.26635289192199707
2,1,person,723,558,894,799,0.8836652636528015
2,2,person,763,55,814,134,0.9025418162345886
2,3,person,660,279,737,437,0.8957212567329407
2,4,person,1067,54,1109,134,0.8330983519554138
2,5,person,1037,1,1067,43,0.7905122637748718
2,6,person,895,0,922,47,0.6389252543449402
2,7,person,1309,46,1333,112,0.620070219039917
2,8,person,1260,40,1293,103,0.34046345949172974
2,11,person,0,449,11,480,0.36712247133255005
2,12,person,1193,38,1220,102,0.7342204451560974
3,1,person,723,558,894,799,0.8962951898574829
3,2,person,764,54,816,134,0.8288480639457703
3,3,person,660,280,736,437,0.8968974947929382
3,4,person,1068,54,1109,133,0.8273229002952576
3,5,person,1037,1,1067,44,0.7756404876708984
3,6,person,895,0,922,47,0.6649898886680603
3,7,person,1308,46,1332,113,0.6074181199073792
3,11,person,0,449,11,480,0.3488204777240753
3,12,person,1193,37,1220,102,0.688943088054657
3,15,person,176,176,210,241,0.3091694414615631
4,1,person,723,557,894,798,0.8761987090110779
4,2,person,765,54,817,134,0.8890758752822876
4,3,person,661,280,737,436,0.9005382061004639
4,4,person,1068,54,1109,132,0.8375205993652344
4,5,person,1038,1,1068,44,0.7613335847854614
4,6,person,895,0,923,48,0.64070725440979
4,7,person,1308,46,1332,112,0.6171357035636902
4,11,person,0,449,11,480,0.340414434671402
4,12,person,1193,37,1219,102,0.6374030709266663
4,15,person,176,176,210,241,0.43938112258911133
4,13,person,1336,35,1364,101,0.31672051548957825
4,8,person,1259,38,1293,103,0.45399385690689087
5,1,person,723,557,892,795,0.6387503743171692
5,2,person,766,54,818,134,0.8894670009613037
5,3,person,661,281,737,437,0.8956596851348877
5,4,person,1069,54,1110,132,0.8481369018554688
5,5,person,1038,1,1068,44,0.7663928270339966
5,6,person,895,0,923,48,0.580545961856842
5,7,person,1308,47,1332,112,0.6124224066734314
5,11,person,0,449,11,480,0.34073033928871155
5,12,person,1192,37,1219,102,0.5125724077224731
5,15,person,177,176,210,241,0.3066987693309784
5,13,person,1336,33,1364,101,0.2952995002269745
5,8,person,1258,37,1292,102,0.4442616105079651
6,1,person,724,556,892,796,0.864025890827179
6,2,person,767,54,819,134,0.8891530632972717
6,3,person,662,282,738,437,0.8964946269989014
6,4,person,1069,53,1110,131,0.858706533908844
6,5,person,1038,0,1068,44,0.7628575563430786
6,6,person,894,0,921,48,0.6286613345146179
6,7,person,1307,47,1331,113,0.5923307538032532
6,11,person,0,450,11,481,0.31978079676628113
6,12,person,1192,37,1219,101,0.5785955786705017
6,15,person,177,176,210,241,0.3878035545349121
6,13,person,1336,33,1364,101,0.27496883273124695
6,8,person,1257,36,1291,102,0.465300977230072
7,1,person,726,556,892,795,0.7961456179618835
7,2,person,767,53,819,134,0.8921111822128296
7,3,person,663,282,739,437,0.8881842494010925
7,4,person,1070,52,1111,131,0.8630350232124329
7,5,person,1038,0,1068,44,0.7574328780174255
7,6,person,892,0,920,48,0.6889321804046631
7,7,person,1305,47,1330,113,0.7587454915046692
7,11,person,0,449,11,480,0.3326984643936157
7,12,person,1192,38,1219,102,0.7134968638420105
7,15,person,176,176,210,241,0.3649785816669464
7,13,person,1336,34,1363,101,0.3885597884654999
7,8,person,1256,36,1290,101,0.5899176001548767
7,21,racket,699,367,742,395,0.689509391784668
8,1,person,727,555,892,794,0.8435959219932556
8,2,person,767,53,820,134,0.8965765833854675
8,3,person,664,282,741,437,0.8884133696556091
8,4,person,1071,52,1111,130,0.8645707368850708
8,5,person,1038,0,1068,44,0.7484501004219055
8,6,person,891,0,919,48,0.7307404279708862
8,7,person,1304,47,1328,112,0.72694993019104
8,11,person,0,449,11,480,0.32381531596183777
8,12,person,1192,38,1219,102,0.7313066124916077
8,15,person,176,176,210,241,0.3951069414615631
8,13,person,1335,34,1363,101,0.4010002017021179
8,8,person,1254,36,1288,102,0.7000371813774109
8,21,racket,701,367,742,393,0.7825966477394104
9,1,person,727,555,892,794,0.8390792012214661
9,2,person,768,53,821,134,0.8885340094566345
9,3,person,666,282,743,437,0.8908883929252625
9,4,person,1071,51,1112,129,0.859575629234314
9,5,person,1039,0,1068,44,0.7510974407196045
9,6,person,890,0,919,48,0.7665075659751892
9,7,person,1303,48,1327,113,0.68611079454422
9,11,person,0,449,11,480,0.3344362676143646
9,12,person,1191,38,1218,102,0.7409655451774597
9,15,person,176,176,210,241,0.35518714785575867
9,13,person,1335,34,1363,101,0.3064599335193634
9,8,person,1253,36,1286,102,0.6707258820533752
9,21,racket,705,366,744,391,0.8174317479133606
10,1,person,729,555,892,794,0.8403306007385254
10,2,person,769,53,822,134,0.8892518281936646
10,3,person,667,282,745,437,0.9008642435073853
10,4,person,1072,51,1112,128,0.8599177002906799
10,5,person,1039,0,1068,44,0.7483609318733215
10,6,person,889,0,918,48,0.7830221056938171
